ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787729330.249,156,14.5,70386,11.0114,1.52,4.6
1787729330.263,157,14.6,70334,10.9910,1.52,4.6
1787729330.278,158,14.6,70329,11.0190,1.52,4.6
1787729330.293,159,14.6,70322,10.9808,1.52,4.6
1787729330.307,160,14.6,70240,10.9754,1.52,4.6
1787729330.322,161,14.6,70256,11.0115,1.52,4.5
1787729330.337,162,14.6,70302,11.0011,1.52,4.6
1787729330.351,163,14.6,70344,11.0017,1.52,4.4
1787729330.366,164,14.6,70277,11.0115,1.52,4.5
1787729330.381,165,14.6,70214,11.0247,1.52,4.6
1787729330.395,166,14.6,70371,10.9921,1.52,4.6
1787729330.411,167,14.9,68894,11.0245,1.52,4.6
1787729330.426,168,14.9,68920,10.9877,1.52,4.2
1787729330.441,169,14.8,69030,11.0343,1.52,4.6
1787729330.456,170,14.9,68835,10.9625,1.52,4.5
1787729330.471,171,14.8,69126,10.9727,1.52,4.3
1787729330.486,172,14.8,69160,10.9896,1.52,4.4
1787729330.500,173,14.8,69200,11.0165,1.52,4.3
1787729330.515,174,14.8,69209,10.9974,1.52,4.3
1787729330.530,175,14.8,69104,10.9804,1.52,4.3
1787729330.545,176,14.8,69135,10.9993,1.52,4.4
1787729330.560,177,14.8,69226,10.9854,1.52,4.4
1787729330.575,178,14.8,69179,11.0082,1.52,4.4
1787729330.590,179,14.8,69183,11.0218,1.52,4.2
1787729330.605,180,14.8,69138,11.0376,1.52,4.3
1787729330.620,181,14.8,69247,11.0304,1.52,4.3
1787729330.635,182,14.8,69135,10.9992,1.52,4.4
1787729330.650,183,14.8,69129,10.9907,1.52,4.3
1787729330.665,184,14.8,69150,11.0200,1.52,4.4
1787729330.680,185,14.8,69103,10.9598,1.52,4.3
1787729330.695,186,14.8,69147,11.0203,1.52,4.7
1787729330.711,187,14.8,69071,10.9988,1.52,4.3
1787729330.725,188,14.8,69194,10.9675,1.52,4.4
1787729330.741,189,14.9,68855,10.9851,1.52,4.2
1787729330.756,190,14.8,69100,10.9836,1.52,4.1
1787729330.771,191,14.8,69063,10.9792,1.52,4.3
1787729330.786,192,14.8,69198,11.0223,1.52,4.4
1787729330.800,193,14.8,69196,11.0105,1.52,4.3
1787729330.815,194,14.8,69276,11.0083,1.52,4.3
1787729330.830,195,14.8,69197,11.0226,1.52,4.1
1787729330.845,196,14.8,69188,10.9755,1.52,4.4
1787729330.860,197,14.8,69148,11.0098,1.52,4.4
1787729330.876,198,14.8,69050,11.0033,1.52,4.2
1787729330.891,199,14.8,69098,10.9969,1.52,4.3
1787729330.906,200,14.8,69115,11.0216,1.52,4.7
1787729330.921,201,14.8,69089,10.9949,1.52,4.3
1787729330.935,202,14.8,69318,10.9742,1.52,4.3
1787729330.950,203,14.8,69099,11.0122,1.52,4.4
1787729330.966,204,14.8,69061,11.0077,1.52,4.6
1787729330.981,205,14.8,69101,10.9864,1.52,4.3
1787729330.996,206,14.8,69181,10.9707,1.52,4.3
1787729331.011,207,14.8,69073,10.9920,1.52,4.4
1787729331.025,208,14.8,69249,11.0070,1.52,4.3
1787729331.040,209,14.8,69221,10.9975,1.52,4.3
1787729331.055,210,14.8,69141,10.9655,1.52,4.3
1787729331.070,211,14.8,69180,10.9981,1.52,4.2
1787729331.085,212,14.8,69173,11.0136,1.52,4.3
1787729331.100,213,14.8,69140,10.9972,1.52,4.2
1787729331.116,214,14.8,69078,10.9807,1.52,4.3
1787729331.131,215,14.8,69257,10.9835,1.52,4.4
1787729331.145,216,14.8,69172,11.0090,1.52,4.4
1787729331.161,217,14.8,69154,10.9703,1.52,4.4
1787729331.175,218,14.5,70456,10.9795,1.52,4.0
1787729331.190,219,14.6,69949,11.0154,1.52,4.1
1787729331.205,220,14.7,69797,10.9890,1.52,4.4
1787729331.220,221,14.8,69324,11.0118,1.52,4.3
1787729331.234,222,14.5,70506,10.9754,1.52,4.3
1787729331.249,223,14.6,70304,10.9792,1.52,4.4
1787729331.264,224,14.7,69662,10.9793,1.52,4.5
1787729331.279,225,14.8,69371,10.9805,1.52,4.3
1787729331.294,226,14.8,69161,10.9976,1.52,4.3
1787729331.309,227,14.8,69192,11.0043,1.52,4.2
1787729331.324,228,14.8,69226,10.9971,1.52,4.4
1787729331.338,229,14.8,69247,10.9948,1.52,4.4
1787729331.353,230,14.8,69190,10.9742,1.52,4.3
1787729331.368,231,14.8,69174,11.0156,1.52,4.4
1787729331.383,232,14.8,69177,10.9965,1.52,4.4
1787729331.399,233,14.8,69112,10.9541,1.52,4.4
1787729331.414,234,14.8,69119,10.9622,1.52,4.2
1787729331.428,235,14.8,69286,11.0287,1.52,4.3
1787729331.444,236,14.8,69089,10.9742,1.52,4.2
1787729331.459,237,14.8,69029,10.9685,1.52,4.3
1787729331.474,238,14.8,69099,11.0183,1.52,4.4
1787729331.489,239,14.8,69209,10.9592,1.52,4.3
1787729331.504,240,14.8,69201,11.0131,1.52,4.3
1787729331.519,241,14.8,69001,10.9868,1.52,4.0
1787729331.534,242,14.8,69196,10.9768,1.52,4.3
1787729331.549,243,14.8,69191,10.9918,1.52,4.2
1787729331.564,244,14.8,69157,10.9447,1.52,4.4
1787729331.579,245,14.8,69198,10.9942,1.52,4.3
1787729331.594,246,14.8,68993,10.9942,1.52,4.4
1787729331.609,247,14.8,69144,10.9979,1.52,4.2
1787729331.624,248,14.8,69140,11.0090,1.52,4.3
1787729331.639,249,14.8,69172,10.9851,1.52,4.3
1787729331.654,250,14.8,69102,10.9821,1.52,4.3
1787729331.669,251,14.8,69171,10.9577,1.52,4.3
1787729331.684,252,14.8,69161,11.0245,1.52,4.3
1787729331.699,253,14.8,69115,10.9887,1.52,4.7
1787729331.714,254,14.8,69063,10.9994,1.52,4.3
1787729331.729,255,14.8,69227,10.9855,1.52,4.1
1787729331.744,256,14.8,69060,10.9876,1.52,4.4
