ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787731019.066,144,15.4,66500,11.0050,1.52,0.0
1787731019.082,145,15.2,67313,10.9894,1.52,0.0
1787731019.097,146,15.5,66155,11.0118,1.52,0.0
1787731019.113,147,15.3,67091,11.0247,1.52,0.0
1787731019.128,148,15.4,66458,11.0198,1.52,0.0
1787731019.144,149,15.3,67106,11.0158,1.52,0.0
1787731019.159,150,15.0,68063,11.0136,1.52,0.0
1787731019.174,151,15.4,66615,10.9829,1.52,0.0
1787731019.190,152,15.2,67401,11.0239,1.52,0.0
1787731019.205,153,14.9,68620,11.0266,1.52,0.0
1787731019.220,154,15.4,66398,11.0075,1.52,0.0
1787731019.236,155,15.2,67164,10.9878,1.52,0.0
1787731019.251,156,15.4,66352,11.0334,1.52,0.0
1787731019.267,157,15.2,67235,11.0029,1.52,0.0
1787731019.282,158,15.1,68037,11.0201,1.52,0.0
1787731019.297,159,15.4,66586,10.9637,1.52,0.0
1787731019.313,160,15.2,67425,10.9838,1.52,0.0
1787731019.328,161,14.9,68704,11.0028,1.52,0.0
1787731019.343,162,15.4,66604,11.0007,1.52,0.0
1787731019.359,163,15.3,67142,11.0058,1.52,0.0
1787731019.374,164,15.1,67954,10.9912,1.52,0.0
1787731019.389,165,15.5,66010,10.9942,1.52,0.0
1787731019.405,166,15.1,67601,10.9878,1.52,0.0
1787731019.420,167,15.4,66482,11.0144,1.52,0.0
1787731019.436,168,15.2,67173,10.9873,1.52,0.0
1787731019.452,169,16.1,63666,11.0442,1.52,0.0
1787731019.468,170,15.7,65204,10.9604,1.52,0.0
1787731019.483,171,15.6,65794,10.9699,1.52,0.0
1787731019.499,172,15.3,67130,10.9993,1.52,0.0
1787731019.514,173,15.4,66507,11.0013,1.52,0.0
1787731019.530,174,15.2,67317,11.0032,1.52,0.0
1787731019.545,175,15.0,68060,10.9748,1.52,0.0
1787731019.560,176,15.4,66512,11.0001,1.52,0.0
1787731019.576,177,15.2,67410,10.9804,1.52,0.0
1787731019.591,178,15.0,68142,10.9905,1.52,0.0
1787731019.606,179,15.4,66583,11.0208,1.52,0.0
1787731019.622,180,15.2,67413,11.0237,1.52,0.0
1787731019.637,181,15.4,66542,11.0307,1.52,0.0
1787731019.653,182,15.3,67139,11.0080,1.52,0.0
1787731019.668,183,15.1,67955,11.0051,1.52,0.0
1787731019.683,184,15.4,66319,11.0161,1.52,0.0
1787731019.699,185,15.2,67170,10.9666,1.52,0.0
1787731019.714,186,15.4,66579,11.0198,1.52,0.0
1787731019.730,187,15.2,67244,10.9919,1.52,0.0
1787731019.745,188,15.0,68079,10.9957,1.52,0.0
1787731019.760,189,15.4,66589,10.9968,1.52,0.0
1787731019.776,190,15.2,67344,10.9861,1.52,0.0
1787731019.791,191,15.1,67728,10.9994,1.52,0.0
1787731019.806,192,15.4,66565,11.0476,1.52,0.0
1787731019.822,193,15.2,67514,11.0207,1.52,0.0
1787731019.837,194,15.4,66541,11.0096,1.52,0.0
1787731019.853,195,15.3,67045,11.0217,1.52,0.0
1787731019.868,196,15.1,67821,10.9767,1.52,0.0
1787731019.883,197,15.4,66505,11.0031,1.52,0.0
1787731019.899,198,15.2,67517,11.0063,1.52,0.0
1787731019.914,199,15.4,66463,10.9822,1.52,0.0
1787731019.930,200,15.2,67159,11.0350,1.52,0.0
1787731019.945,201,15.4,66401,11.0040,1.52,0.0
1787731019.961,202,15.2,67166,10.9992,1.52,0.0
1787731019.976,203,15.6,65722,11.0255,1.52,0.0
1787731019.992,204,15.2,67448,10.9858,1.52,0.0
1787731020.007,205,15.1,68012,10.9767,1.52,0.0
1787731020.022,206,15.2,67229,10.9912,1.52,0.0
1787731020.038,207,16.0,64029,11.0026,1.52,0.0
1787731020.054,208,15.2,67492,11.0129,1.52,0.0
1787731020.069,209,15.4,66425,10.9755,1.52,0.0
1787731020.085,210,15.9,64331,10.9736,1.52,0.0
1787731020.101,211,15.2,67339,10.9916,1.52,0.0
1787731020.116,212,15.0,68178,11.0097,1.52,0.0
1787731020.131,213,15.4,66592,10.9962,1.52,0.0
1787731020.147,214,15.2,67332,10.9921,1.52,0.0
1787731020.162,215,15.4,66469,10.9941,1.52,0.0
1787731020.178,216,15.3,67135,11.0263,1.52,0.0
1787731020.193,217,15.1,67906,10.9800,1.52,0.0
1787731020.208,218,14.9,68696,10.9848,1.52,0.0
1787731020.224,219,15.7,65345,11.0067,1.52,0.0
1787731020.239,220,15.1,68011,10.9890,1.52,0.0
1787731020.254,221,15.4,66553,11.0219,1.52,0.0
1787731020.270,222,15.2,67161,10.9859,1.52,0.0
1787731020.285,223,15.0,68267,10.9890,1.52,0.0
1787731020.300,224,15.4,66573,10.9845,1.52,0.0
1787731020.316,225,15.2,67502,10.9652,1.52,0.0
1787731020.331,226,15.0,68070,10.9842,1.52,0.0
1787731020.346,227,15.4,66533,11.0142,1.52,0.0
1787731020.362,228,15.2,67445,10.9982,1.52,0.0
1787731020.377,229,15.4,66531,10.9959,1.52,0.0
1787731020.393,230,15.3,67097,10.9615,1.52,0.0
1787731020.408,231,15.1,67986,11.0148,1.52,0.0
1787731020.423,232,15.4,66626,10.9801,1.52,0.0
1787731020.439,233,15.3,67038,10.9636,1.52,0.0
1787731020.454,234,15.4,66624,10.9674,1.52,0.0
1787731020.470,235,15.3,66862,11.0421,1.52,0.0
1787731020.485,236,14.9,68523,10.9989,1.52,0.0
1787731020.500,237,14.9,68588,10.9904,1.52,0.0
1787731020.515,238,14.9,68621,11.0275,1.52,0.0
1787731020.530,239,14.9,68737,10.9717,1.52,0.0
1787731020.545,240,14.9,68719,10.9960,1.52,0.0
1787731020.560,241,15.0,68131,10.9960,1.52,0.0
1787731020.575,242,14.9,68755,10.9509,1.52,0.0
1787731020.590,243,14.9,68694,10.9798,1.52,0.0
1787731020.605,244,14.9,68662,10.9452,1.52,0.0
1787731020.620,245,14.9,68660,10.9770,1.52,0.0
1787731020.635,246,14.9,68719,10.9932,1.52,0.0
1787731020.650,247,14.9,68656,10.9829,1.52,0.0
1787731020.665,248,14.9,68635,11.0037,1.52,0.0
1787731020.680,249,14.9,68693,10.9904,1.52,0.0
1787731020.695,250,14.9,68776,11.0066,1.52,0.0
1787731020.710,251,14.9,68572,10.9652,1.52,0.0
1787731020.725,252,14.9,68813,11.0333,1.52,0.0
1787731020.740,253,14.9,68631,10.9854,1.52,0.0
1787731020.755,254,14.9,68806,10.9864,1.52,0.0
1787731020.771,255,15.4,66385,10.9820,1.52,0.0
1787731020.786,256,15.0,68234,10.9864,1.52,0.0
1787731020.801,257,14.9,68510,10.9693,1.52,0.0
1787731020.816,258,14.9,68605,11.0200,1.52,0.0
1787731020.831,259,14.9,68800,10.9981,1.52,0.0
1787731020.846,260,15.0,68151,11.0015,1.52,0.0
1787731020.861,261,14.9,68745,10.9844,1.52,0.0
1787731020.876,262,14.9,68602,10.9943,1.52,0.0
1787731020.891,263,14.9,68704,10.9953,1.52,0.0
1787731020.906,264,14.9,68701,11.0019,1.52,0.0
1787731020.921,265,14.9,68724,10.9636,1.52,0.0
