ts,step,dt_ms,tok_per_s,loss,peak_gib
1787724272.473,238,40.0,25613,11.9518,4.01
1787724272.513,239,39.9,25649,11.9582,4.01
1787724272.553,240,39.9,25664,11.9539,4.01
1787724272.593,241,40.1,25516,11.9517,4.01
1787724272.634,242,39.9,25684,11.9562,4.01
1787724272.674,243,40.1,25533,11.9648,4.01
1787724272.714,244,39.8,25741,11.9540,4.01
1787724272.754,245,39.9,25659,11.9462,4.01
1787724272.794,246,40.1,25540,11.9632,4.01
1787724272.834,247,39.8,25746,11.9447,4.01
1787724272.875,248,39.9,25643,11.9590,4.01
1787724272.915,249,39.8,25733,11.9547,4.01
1787724272.953,250,38.0,26962,11.9562,4.01
1787724272.992,251,38.9,26311,11.9416,4.01
1787724273.032,252,39.8,25731,11.9537,4.01
1787724273.077,253,44.6,22983,11.9490,4.01
1787724273.121,254,43.4,23594,11.9532,4.01
1787724273.164,255,43.3,23641,11.9460,4.01
1787724273.209,256,44.3,23125,11.9561,4.01
1787724273.249,257,40.1,25566,11.9483,4.01
1787724273.290,258,40.0,25602,11.9502,4.01
1787724273.330,259,40.2,25461,11.9447,4.01
1787724273.370,260,40.0,25598,11.9421,4.01
1787724273.411,261,40.1,25526,11.9597,4.01
1787724273.451,262,39.7,25795,11.9469,4.01
1787724273.491,263,40.0,25620,11.9462,4.01
1787724273.531,264,39.9,25677,11.9501,4.01
1787724273.571,265,39.8,25704,11.9491,4.01
1787724273.611,266,39.7,25783,11.9630,4.01
1787724273.652,267,40.2,25465,11.9597,4.01
1787724273.692,268,40.0,25601,11.9516,4.01
1787724273.732,269,40.0,25630,11.9419,4.01
1787724273.772,270,39.9,25653,11.9580,4.01
1787724273.813,271,40.2,25484,11.9554,4.01
1787724273.852,272,39.6,25833,11.9471,4.01
1787724273.893,273,40.1,25536,11.9514,4.01
1787724273.933,274,39.9,25652,11.9552,4.01
1787724273.973,275,40.0,25613,11.9564,4.01
1787724274.013,276,39.9,25647,11.9540,4.01
1787724274.053,277,39.8,25759,11.9447,4.01
1787724274.094,278,40.0,25592,11.9487,4.01
1787724274.134,279,40.2,25465,11.9565,4.01
1787724274.174,280,39.9,25672,11.9578,4.01
1787724274.215,281,40.0,25625,11.9462,4.01
1787724274.255,282,40.1,25543,11.9497,4.01
1787724274.295,283,39.6,25869,11.9456,4.01
1787724274.334,284,39.2,26123,11.9607,4.01
1787724274.375,285,40.6,25204,11.9508,4.01
1787724274.416,286,40.5,25310,11.9607,4.01
1787724274.456,287,40.1,25519,11.9545,4.01
1787724274.497,288,40.0,25569,11.9572,4.01
1787724274.537,289,40.2,25470,11.9441,4.01
1787724274.577,290,39.9,25656,11.9655,4.01
1787724274.626,291,48.9,20922,11.9570,4.01
1787724274.705,292,78.6,13021,11.9386,4.01
1787724274.785,293,77.7,13176,11.9544,4.01
1787724274.865,294,77.6,13198,11.9589,4.01
1787724274.945,295,77.5,13206,11.9619,4.01
1787724274.995,296,48.2,21267,11.9499,4.01
1787724275.035,297,39.6,25871,11.9512,4.01
1787724275.075,298,39.6,25842,12.0493,4.01
1787724275.116,299,40.3,25441,11.9666,4.01
1787724275.155,300,39.4,26014,11.9561,4.01
1787724275.195,301,39.5,25907,11.9436,4.01
1787724275.235,302,40.1,25559,11.9520,4.01
1787724275.275,303,39.7,25821,11.9568,4.01
1787724275.315,304,39.8,25750,11.9575,4.01
1787724275.355,305,40.3,25390,11.9484,4.01
1787724275.395,306,39.5,25933,11.9493,4.01
1787724275.435,307,39.6,25877,11.9585,4.01
1787724275.476,308,40.5,25313,11.9431,4.01
1787724275.515,309,39.4,25985,11.9509,4.01
1787724275.555,310,39.7,25792,11.9590,4.01
1787724275.595,311,40.3,25436,11.9605,4.01
1787724275.635,312,39.4,25999,11.9549,4.01
1787724275.675,313,39.6,25834,11.9552,4.01
1787724275.747,314,71.4,14346,11.9429,4.01
1787724275.826,315,77.7,13173,11.9628,4.01
1787724275.907,316,77.8,13154,11.9604,4.01
1787724275.987,317,77.9,13152,11.9482,4.01
1787724276.055,318,66.2,15464,11.9502,4.01
1787724276.095,319,39.6,25834,11.9395,4.01
1787724276.135,320,39.7,25822,11.9461,4.01
1787724276.175,321,39.6,25876,11.9531,4.01
1787724276.215,322,39.6,25833,11.9523,4.01
1787724276.254,323,39.5,25956,11.9450,4.01
1787724276.293,324,39.0,26245,11.9468,4.01
1787724276.333,325,39.5,25941,11.9381,4.01
1787724276.373,326,39.6,25842,11.9441,4.01
1787724276.413,327,40.2,25494,11.9381,4.01
1787724276.453,328,39.2,26102,11.9332,4.01
1787724276.492,329,39.4,25969,11.9426,4.01
1787724276.533,330,40.4,25358,11.9444,4.01
1787724276.572,331,39.3,26053,11.9381,4.01
1787724276.612,332,39.7,25822,11.9438,4.01
1787724276.652,333,39.2,26116,11.9622,4.01
1787724276.691,334,39.6,25855,11.9467,4.01
1787724276.731,335,39.3,26071,11.9395,4.01
1787724276.770,336,39.4,25998,11.9495,4.01
1787724276.810,337,39.5,25892,11.9430,4.01
1787724276.850,338,39.6,25832,11.9476,4.01
1787724276.892,339,41.4,24755,11.9504,4.01
1787724276.933,340,40.6,25223,11.9473,4.01
1787724276.973,341,39.3,26081,11.9520,4.01
1787724277.012,342,38.6,26551,11.9437,4.01
1787724277.050,343,38.6,26553,11.9487,4.01
1787724277.089,344,38.5,26566,11.9541,4.01
1787724277.131,345,41.7,24585,11.9586,4.01
1787724277.172,346,40.5,25281,11.9473,4.01
1787724277.212,347,40.0,25586,11.9464,4.01
1787724277.252,348,39.9,25676,11.9416,4.01
1787724277.293,349,40.0,25607,11.9526,4.01
1787724277.333,350,39.8,25719,11.9463,4.01
1787724277.373,351,39.7,25769,11.9402,4.01
1787724277.413,352,39.8,25750,11.9566,4.01
1787724277.453,353,39.9,25642,11.9511,4.01
1787724277.493,354,39.7,25801,11.9554,4.01
1787724277.533,355,39.8,25699,11.9499,4.01
1787724277.573,356,39.8,25734,11.9424,4.01
1787724277.613,357,39.7,25769,11.9476,4.01
1787724277.653,358,40.1,25565,11.9508,4.01
1787724277.693,359,39.9,25638,11.9556,4.01
1787724277.733,360,39.9,25695,11.9455,4.01
1787724277.773,361,39.8,25713,11.9464,4.01
1787724277.813,362,39.9,25644,11.9521,4.01
1787724277.854,363,39.9,25689,11.9398,4.01
1787724277.894,364,39.8,25746,11.9517,4.01
1787724277.934,365,39.8,25748,11.9504,4.01
1787724277.973,366,39.7,25824,11.9474,4.01
1787724278.014,367,39.9,25689,11.9561,4.01
1787724278.054,368,39.9,25664,11.9438,4.01
1787724278.094,369,39.9,25632,11.9487,4.01
1787724278.134,370,39.8,25749,11.9519,4.01
1787724278.174,371,40.0,25622,11.9433,4.01
1787724278.214,372,39.9,25658,11.9484,4.01
1787724278.254,373,40.0,25589,11.9533,4.01
1787724278.295,374,39.8,25698,11.9451,4.01
1787724278.335,375,39.8,25698,11.9436,4.01
1787724278.375,376,39.8,25739,11.9447,4.01
