ts,step,dt_ms,tok_per_s,loss,peak_gib
1787726401.831,155,55.9,18327,11.0081,1.52
1787726401.887,156,55.9,18326,11.0358,1.52
1787726401.943,157,55.9,18331,11.0253,1.52
1787726401.999,158,55.8,18364,11.0443,1.52
1787726402.054,159,55.7,18392,10.9812,1.52
1787726402.110,160,55.7,18396,10.9947,1.52
1787726402.166,161,55.6,18410,11.0323,1.52
1787726402.222,162,55.6,18405,11.0008,1.52
1787726402.278,163,55.7,18394,10.9965,1.52
1787726402.333,164,55.7,18395,11.0272,1.52
1787726402.389,165,55.7,18390,11.0102,1.52
1787726402.445,166,55.6,18402,10.9781,1.52
1787726402.501,167,55.7,18395,10.9939,1.52
1787726402.556,168,55.7,18396,10.9905,1.52
1787726402.612,169,55.6,18406,11.0083,1.52
1787726402.668,170,55.7,18391,10.9809,1.52
1787726402.724,171,55.7,18383,10.9896,1.52
1787726402.780,172,55.6,18416,10.9991,1.52
1787726402.835,173,55.7,18389,10.9854,1.52
1787726402.891,174,55.7,18399,11.0158,1.52
1787726402.947,175,55.7,18391,11.0224,1.52
1787726403.003,176,55.6,18403,10.9954,1.52
1787726403.059,177,55.7,18392,10.9825,1.52
1787726403.114,178,55.6,18422,10.9961,1.52
1787726403.170,179,55.7,18393,11.0062,1.52
1787726403.226,180,55.7,18395,10.9934,1.52
1787726403.282,181,55.7,18398,11.0041,1.52
1787726403.337,182,55.7,18389,11.0122,1.52
1787726403.393,183,55.7,18391,10.9698,1.52
1787726403.449,184,55.6,18411,11.0031,1.52
1787726403.505,185,55.6,18411,10.9583,1.52
1787726403.560,186,55.6,18401,11.0277,1.52
1787726403.616,187,55.7,18393,11.0249,1.52
1787726403.672,188,55.6,18404,11.0053,1.52
1787726403.728,189,55.7,18368,10.9887,1.52
1787726403.784,190,55.6,18411,10.9943,1.52
1787726403.839,191,55.7,18394,11.0204,1.52
1787726403.895,192,55.7,18389,11.0471,1.52
1787726403.951,193,55.6,18405,11.0175,1.52
1787726404.007,194,55.6,18405,11.0183,1.52
1787726404.063,195,55.7,18396,11.0029,1.52
1787726404.118,196,55.6,18411,11.0141,1.52
1787726404.174,197,55.7,18399,10.9940,1.52
1787726404.230,198,55.6,18405,11.0031,1.52
1787726404.286,199,55.7,18399,10.9894,1.52
1787726404.341,200,55.7,18385,11.0368,1.52
1787726404.397,201,55.7,18389,11.0105,1.52
1787726404.453,202,55.7,18395,10.9619,1.52
1787726404.509,203,55.6,18409,11.0029,1.52
1787726404.565,204,55.6,18402,11.0166,1.52
1787726404.620,205,55.7,18389,10.9737,1.52
1787726404.676,206,55.7,18398,10.9923,1.52
1787726404.732,207,55.7,18387,10.9744,1.52
1787726404.788,208,55.7,18397,10.9805,1.52
1787726404.843,209,55.7,18398,10.9871,1.52
1787726404.899,210,55.6,18408,10.9600,1.52
1787726404.955,211,55.7,18398,11.0086,1.52
1787726405.011,212,55.7,18385,10.9997,1.52
1787726405.067,213,55.7,18391,10.9963,1.52
1787726405.122,214,55.7,18390,10.9940,1.52
1787726405.178,215,55.7,18389,10.9846,1.52
1787726405.234,216,55.7,18396,10.9786,1.52
1787726405.290,217,55.7,18394,10.9710,1.52
1787726405.346,218,55.7,18386,11.0041,1.52
1787726405.401,219,55.6,18416,11.0331,1.52
1787726405.457,220,55.7,18397,10.9835,1.52
1787726405.513,221,55.6,18403,11.0284,1.52
1787726405.569,222,55.7,18390,11.0278,1.52
1787726405.625,223,55.7,18393,11.0178,1.52
1787726405.680,224,55.7,18396,10.9647,1.52
1787726405.736,225,55.7,18394,10.9664,1.52
1787726405.792,226,55.7,18400,10.9935,1.52
1787726405.848,227,55.7,18393,10.9760,1.52
1787726405.903,228,55.6,18405,10.9753,1.52
1787726405.959,229,55.7,18395,10.9997,1.52
1787726406.015,230,55.7,18375,10.9978,1.52
1787726406.071,231,55.7,18398,10.9986,1.52
1787726406.127,232,55.6,18417,10.9891,1.52
1787726406.182,233,55.7,18385,10.9876,1.52
1787726406.238,234,55.7,18398,10.9763,1.52
1787726406.294,235,55.6,18408,11.0063,1.52
1787726406.350,236,55.7,18394,10.9971,1.52
1787726406.406,237,55.7,18399,10.9958,1.52
1787726406.461,238,55.7,18399,11.0087,1.52
1787726406.517,239,55.7,18386,10.9462,1.52
1787726406.632,240,114.3,8955,11.0217,1.52
1787726406.749,241,116.7,8775,11.0180,1.52
1787726406.893,242,144.4,7093,10.9883,1.52
1787726407.019,243,125.2,8176,10.9706,1.52
1787726407.128,244,108.1,9469,10.9855,1.52
1787726407.231,245,103.1,9928,10.9848,1.52
1787726407.287,246,55.5,18436,10.9902,1.52
1787726407.342,247,55.4,18468,10.9932,1.52
1787726407.398,248,55.4,18495,10.9917,1.52
1787726407.453,249,55.3,18503,10.9980,1.52
1787726407.509,250,55.4,18499,10.9860,1.52
1787726407.564,251,55.3,18519,10.9559,1.52
1787726407.620,252,55.4,18500,10.9923,1.52
1787726407.675,253,55.3,18504,10.9897,1.52
1787726407.731,254,55.4,18473,10.9850,1.52
1787726407.786,255,55.3,18509,10.9852,1.52
1787726407.842,256,55.3,18503,10.9870,1.52
1787726407.897,257,55.3,18516,10.9730,1.52
1787726407.952,258,55.4,18497,10.9891,1.52
1787726408.008,259,55.5,18436,10.9923,1.52
1787726408.064,260,55.3,18501,10.9892,1.52
1787726408.119,261,55.3,18505,10.9702,1.52
1787726408.175,262,55.4,18499,10.9720,1.52
1787726408.230,263,55.3,18506,10.9944,1.52
1787726408.285,264,55.4,18490,11.0008,1.52
1787726408.341,265,55.4,18482,10.9547,1.52
1787726408.396,266,55.3,18505,10.9892,1.52
1787726408.452,267,55.4,18489,11.0033,1.52
1787726408.507,268,55.3,18508,11.0124,1.52
1787726408.563,269,55.3,18515,10.9901,1.52
1787726408.618,270,55.3,18506,10.9783,1.52
1787726408.674,271,55.4,18491,10.9703,1.52
1787726408.729,272,55.4,18476,10.9998,1.52
1787726408.785,273,55.3,18506,10.9954,1.52
1787726408.840,274,55.3,18501,11.0066,1.52
1787726408.896,275,55.3,18514,11.0097,1.52
1787726408.951,276,55.4,18493,10.9879,1.52
1787726409.007,277,55.3,18504,10.9779,1.52
1787726409.062,278,55.4,18496,10.9909,1.52
1787726409.118,279,55.3,18518,10.9690,1.52
1787726409.173,280,55.4,18497,10.9993,1.52
1787726409.229,281,55.4,18494,10.9847,1.52
1787726409.284,282,55.4,18493,10.9850,1.52
1787726409.340,283,55.4,18481,10.9991,1.52
1787726409.395,284,55.4,18489,10.9713,1.52
1787726409.451,285,55.3,18511,10.9924,1.52
1787726409.506,286,55.4,18500,10.9903,1.52
1787726409.561,287,55.4,18496,11.0047,1.52
1787726409.617,288,55.4,18496,10.9671,1.52
1787726409.672,289,55.3,18510,10.9977,1.52
1787726409.728,290,55.4,18488,10.9923,1.52
1787726409.783,291,55.3,18512,10.9556,1.52
1787726409.839,292,55.4,18493,10.9989,1.52
1787726409.894,293,55.4,18492,10.9843,1.52
1787726409.950,294,55.4,18500,10.9955,1.52
1787726410.005,295,55.3,18505,10.9786,1.52
1787726410.061,296,55.4,18499,10.9586,1.52
1787726410.116,297,55.3,18512,10.9366,1.52
1787726410.172,298,55.4,18496,10.9790,1.52
1787726410.227,299,55.3,18503,10.9850,1.52
1787726410.283,300,55.3,18510,10.9745,1.52
1787726410.338,301,55.4,18480,10.9992,1.52
1787726410.394,302,55.4,18481,10.9999,1.52
1787726410.449,303,55.3,18516,10.9699,1.52
1787726410.505,304,55.4,18489,10.9913,1.52
1787726410.560,305,55.3,18502,10.9814,1.52
1787726410.616,306,55.4,18499,10.9797,1.52
1787726410.671,307,55.3,18503,11.0161,1.52
1787726410.727,308,55.4,18479,10.9715,1.52
1787726410.782,309,55.3,18506,10.9801,1.52
1787726410.838,310,55.3,18503,10.9685,1.52
1787726410.893,311,55.3,18507,11.0132,1.52
1787726410.949,312,55.4,18482,10.9690,1.52
1787726411.004,313,55.3,18511,10.9827,1.52
1787726411.059,314,55.4,18493,10.9802,1.52
1787726411.115,315,55.3,18514,10.9960,1.52
1787726411.170,316,55.3,18512,10.9715,1.52
1787726411.226,317,55.3,18505,10.9921,1.52
1787726411.281,318,55.3,18510,10.9924,1.52
1787726411.337,319,55.4,18470,10.9821,1.52
1787726411.392,320,55.4,18490,10.9833,1.52
1787726411.448,321,55.3,18502,10.9773,1.52
1787726411.503,322,55.3,18504,10.9791,1.52
1787726411.559,323,55.3,18504,10.9609,1.52
1787726411.614,324,55.3,18507,10.9825,1.52
1787726411.670,325,55.4,18486,10.9819,1.52
1787726411.725,326,55.4,18469,10.9768,1.52
1787726411.781,327,55.3,18504,10.9859,1.52
1787726411.836,328,55.3,18504,10.9988,1.52
1787726411.892,329,55.4,18484,10.9606,1.52
1787726411.947,330,55.4,18494,10.9753,1.52
1787726412.003,331,55.3,18503,10.9744,1.52
1787726412.058,332,55.4,18476,10.9783,1.52
