ts,step,dt_ms,tok_per_s,loss,peak_gib
1787724955.077,276,38.0,26945,11.9558,4.01
1787724955.229,277,38.4,26684,11.9406,4.01
1787724955.383,278,38.1,26856,11.9503,4.01
1787724955.536,279,38.0,26917,11.9581,4.01
1787724955.689,280,38.1,26859,11.9537,4.01
1787724955.843,281,38.9,26307,11.9457,4.01
1787724955.998,282,38.1,26888,11.9515,4.01
1787724956.151,283,38.1,26869,11.9441,4.01
1787724956.304,284,38.1,26886,11.9553,4.01
1787724956.457,285,38.4,26677,11.9457,4.01
1787724956.611,286,38.2,26786,11.9576,4.01
1787724956.765,287,38.4,26694,11.9516,4.01
1787724956.917,288,36.8,27859,11.9536,4.01
1787724957.064,289,36.8,27818,11.9429,4.01
1787724957.212,290,36.9,27777,11.9648,4.01
1787724957.402,291,77.7,13179,11.9486,4.01
1787724957.716,292,77.7,13184,11.9370,4.01
1787724957.992,293,42.5,24082,11.9471,4.01
1787724958.158,294,37.6,27251,11.9461,4.01
1787724958.309,295,38.3,26743,11.9534,4.01
1787724958.461,296,37.1,27635,11.9462,4.01
1787724958.610,297,36.8,27855,11.9493,4.01
1787724958.757,298,36.8,27818,11.9474,4.01
1787724958.904,299,36.6,28015,11.9502,4.01
1787724959.064,300,49.1,20863,11.9474,4.01
1787724959.256,301,44.6,22972,11.9465,4.01
1787724959.430,302,39.9,25679,11.9485,4.01
1787724959.596,303,45.7,22408,11.9533,4.01
1787724959.773,304,38.6,26537,11.9574,4.01
1787724959.926,305,36.8,27790,11.9492,4.01
1787724960.074,306,37.0,27674,11.9479,4.01
1787724960.222,307,37.1,27592,11.9540,4.01
1787724960.371,308,36.8,27833,11.9400,4.01
1787724960.518,309,36.9,27762,11.9480,4.01
1787724960.667,310,36.9,27718,11.9592,4.01
1787724960.815,311,37.0,27679,11.9501,4.01
1787724960.964,312,37.0,27641,11.9560,4.01
1787724961.112,313,37.1,27586,11.9500,4.01
1787724961.261,314,36.8,27818,11.9416,4.01
1787724961.408,315,36.9,27781,11.9539,4.01
1787724961.556,316,36.8,27814,11.9606,4.01
1787724961.705,317,38.1,26881,11.9484,4.01
1787724961.858,318,38.6,26505,11.9475,4.01
1787724962.011,319,36.8,27793,11.9386,4.01
1787724962.159,320,36.7,27870,11.9413,4.01
1787724962.306,321,36.7,27903,11.9519,4.01
1787724962.453,322,36.6,27986,11.9522,4.01
1787724962.600,323,36.8,27790,11.9424,4.01
1787724962.747,324,36.5,28059,11.9444,4.01
1787724962.894,325,36.6,27988,11.9371,4.01
