ts,step,dt_ms,tok_per_s,loss,peak_gib,gated_ms
1787731328.954,183,18.0,56978,10.9962,1.52,0.0
1787731328.972,184,17.9,57201,11.0080,1.52,0.0
1787731328.990,185,17.9,57205,10.9749,1.52,0.0
1787731329.008,186,17.7,57775,11.0048,1.52,0.0
1787731329.026,187,17.9,57062,11.0017,1.52,0.0
1787731329.044,188,17.7,57787,10.9784,1.52,0.0
1787731329.062,189,17.9,57125,10.9954,1.52,0.0
1787731329.080,190,17.8,57648,10.9808,1.52,0.0
1787731329.098,191,18.0,57034,10.9803,1.52,0.0
1787731329.116,192,17.8,57555,11.0335,1.52,0.0
1787731329.134,193,18.0,56959,11.0331,1.52,0.0
1787731329.152,194,17.7,57726,11.0036,1.52,0.0
1787731329.170,195,18.0,57046,11.0201,1.52,0.0
1787731329.188,196,17.7,57775,10.9780,1.52,0.0
1787731329.206,197,17.9,57106,11.0053,1.52,0.0
1787731329.224,198,17.7,57823,11.0117,1.52,0.0
1787731329.242,199,18.1,56693,10.9800,1.52,0.0
1787731329.260,200,17.3,59162,11.0501,1.52,0.0
1787731329.278,201,17.7,57691,11.0086,1.52,0.0
1787731329.296,202,17.6,58065,10.9970,1.52,0.0
1787731329.314,203,18.0,56888,11.0309,1.52,0.0
1787731329.331,204,17.7,57803,10.9850,1.52,0.0
1787731329.349,205,17.9,57163,10.9795,1.52,0.0
1787731329.367,206,17.8,57676,10.9741,1.52,0.0
1787731329.386,207,18.0,56865,10.9866,1.52,0.0
1787731329.403,208,17.7,57701,11.0045,1.52,0.0
1787731329.421,209,17.9,57175,11.0040,1.52,0.0
1787731329.439,210,17.7,57707,10.9886,1.52,0.0
1787731329.457,211,18.0,56997,11.0171,1.52,0.0
1787731329.475,212,17.8,57439,11.0139,1.52,0.0
1787731329.493,213,18.0,57021,10.9788,1.52,0.0
1787731329.512,214,17.9,57147,10.9670,1.52,0.0
1787731329.530,215,17.9,57144,10.9913,1.52,0.0
1787731329.547,216,17.8,57645,11.0017,1.52,0.0
1787731329.566,217,17.9,57056,10.9798,1.52,0.0
1787731329.583,218,17.7,57728,10.9858,1.52,0.0
1787731329.601,219,17.9,57090,11.0248,1.52,0.0
1787731329.619,220,17.7,57759,10.9842,1.52,0.0
1787731329.637,221,18.0,56926,11.0211,1.52,0.0
1787731329.655,222,17.9,57255,11.0105,1.52,0.0
1787731329.673,223,17.9,57198,10.9854,1.52,0.0
1787731329.691,224,17.7,57719,10.9778,1.52,0.0
1787731329.710,225,18.1,56679,10.9716,1.52,0.0
1787731329.727,226,17.7,57744,11.0058,1.52,0.0
1787731329.745,227,18.0,56981,11.0067,1.52,0.0
1787731329.763,228,17.8,57689,10.9946,1.52,0.0
1787731329.782,229,18.0,56778,10.9782,1.52,0.0
1787731329.799,230,17.8,57485,10.9662,1.52,0.0
1787731329.817,231,17.9,57173,11.0114,1.52,0.0
1787731329.836,232,17.9,57354,10.9926,1.52,0.0
1787731329.854,233,18.0,56994,10.9594,1.52,0.0
1787731329.872,234,17.9,57345,10.9648,1.52,0.0
1787731329.890,235,17.9,57233,11.0049,1.52,0.0
1787731329.907,236,17.7,57698,10.9928,1.52,0.0
